"User_id","Time on platform","Time on videos","Ratio video/platform","Distict videos","Assignments","Until deadline"
"DelftX/CTB3365DWx/3T2014_302090","1131","0","0.00","0","18","65"
"DelftX/CTB3365DWx/3T2014_5602574","72938","3757","5.15","14","82","19"
"DelftX/CTB3365DWx/3T2014_2363952","19505","1975","10.13","7","100","211"
"DelftX/CTB3365DWx/3T2014_2583213","26080","2253","8.64","6","60","232"
"DelftX/CTB3365DWx/3T2014_5642909","39705","5755","14.49","9","50","62"
"DelftX/CTB3365DWx/3T2014_3606755","66609","6647","9.98","18","108","198"
"DelftX/CTB3365DWx/3T2014_4629964","39374","6440","16.36","14","77","23"
"DelftX/CTB3365DWx/3T2014_5570410","86929","2285","2.63","5","81","217"
"DelftX/CTB3365DWx/3T2014_402019","34744","6001","17.27","19","82","170"
"DelftX/CTB3365DWx/3T2014_1767337","11976","237","1.98","2","110","256"
"DelftX/CTB3365DWx/3T2014_2307455","57725","403","0.70","4","87","68"
"DelftX/CTB3365DWx/3T2014_612190","17708","7174","40.51","13","95","251"
"DelftX/CTB3365DWx/3T2014_5208651","27338","5076","18.57","23","82","32"
"DelftX/CTB3365DWx/3T2014_5080948","11090","87","0.78","1","9","23"
"DelftX/CTB3365DWx/3T2014_5634299","33863","3715","10.97","11","102","142"
"DelftX/CTB3365DWx/3T2014_455912","2328","0","0.00","2","52","237"
"DelftX/CTB3365DWx/3T2014_5563678","55509","6272","11.30","14","121","191"
"DelftX/CTB3365DWx/3T2014_4972529","53079","3524","6.64","13","94","266"
"DelftX/CTB3365DWx/3T2014_2799942","45101","1725","3.82","9","67","237"
"DelftX/CTB3365DWx/3T2014_5853808","0","0","0.00","7","0","0"
"DelftX/CTB3365DWx/3T2014_2391735","39358","0","0.00","0","104","116"
"DelftX/CTB3365DWx/3T2014_5607453","29454","4692","15.93","16","115","153"
"DelftX/CTB3365DWx/3T2014_4755990","32987","3426","10.39","11","78","140"
"DelftX/CTB3365DWx/3T2014_3305374","43619","6647","15.24","8","87","242"
"DelftX/CTB3365DWx/3T2014_5665244","65428","909","1.39","12","82","147"
"DelftX/CTB3365DWx/3T2014_5343941","2430","0","0.00","0","8","76"
"DelftX/CTB3365DWx/3T2014_3410565","12476","1631","13.07","6","47","16"
"DelftX/CTB3365DWx/3T2014_5702603","33807","1923","5.69","17","108","181"
"DelftX/CTB3365DWx/3T2014_5540665","49064","7990","16.28","15","121","244"
"DelftX/CTB3365DWx/3T2014_5774916","4858","6","0.12","1","36","116"
"DelftX/CTB3365DWx/3T2014_2257644","23287","5200","22.33","20","82","135"
"DelftX/CTB3365DWx/3T2014_5502867","38961","6172","15.84","12","111","272"
"DelftX/CTB3365DWx/3T2014_1300984","33010","3388","10.26","14","107","176"
"DelftX/CTB3365DWx/3T2014_1675129","32010","2451","7.66","12","121","216"
"DelftX/CTB3365DWx/3T2014_2938530","37071","2270","6.12","14","59","98"
"DelftX/CTB3365DWx/3T2014_4412254","75190","4310","5.73","19","47","117"
"DelftX/CTB3365DWx/3T2014_5019797","43183","6533","15.13","27","71","54"
"DelftX/CTB3365DWx/3T2014_2522834","12044","553","4.59","7","67","1"
"DelftX/CTB3365DWx/3T2014_5537844","48040","6243","13.00","22","80","125"
"DelftX/CTB3365DWx/3T2014_948543","7171","841","11.73","3","53","301"
"DelftX/CTB3365DWx/3T2014_1298778","26279","1054","4.01","6","42","0"
"DelftX/CTB3365DWx/3T2014_5263158","96540","30725","31.83","20","80","193"
"DelftX/CTB3365DWx/3T2014_4537282","78201","554","0.71","6","116","215"
"DelftX/CTB3365DWx/3T2014_4876511","69986","8465","12.10","18","14","14"
"DelftX/CTB3365DWx/3T2014_5223032","19701","3387","17.19","8","18","0"
"DelftX/CTB3365DWx/3T2014_5473536","46391","5792","12.49","21","82","5"
"DelftX/CTB3365DWx/3T2014_5601931","96789","49","0.05","1","106","222"
"DelftX/CTB3365DWx/3T2014_5632879","40984","4513","11.01","13","82","90"
"DelftX/CTB3365DWx/3T2014_2043279","24950","4027","16.14","9","50","166"
"DelftX/CTB3365DWx/3T2014_5082418","11129","1333","11.98","16","19","0"
"DelftX/CTB3365DWx/3T2014_4490657","77525","6142","7.92","17","111","259"
"DelftX/CTB3365DWx/3T2014_4276451","53260","6356","11.93","13","106","146"
"DelftX/CTB3365DWx/3T2014_4235823","31316","504","1.61","5","59","70"
"DelftX/CTB3365DWx/3T2014_5089295","49187","4696","9.55","22","92","125"
"DelftX/CTB3365DWx/3T2014_1742861","658","0","0.00","0","28","305"
"DelftX/CTB3365DWx/3T2014_4589890","45728","3951","8.64","20","75","70"
"DelftX/CTB3365DWx/3T2014_5141032","148346","14881","10.03","21","117","273"
"DelftX/CTB3365DWx/3T2014_5483558","48279","6637","13.75","13","35","236"
"DelftX/CTB3365DWx/3T2014_3187308","77004","4502","5.85","17","117","241"
"DelftX/CTB3365DWx/3T2014_2024021","12319","0","0.00","1","51","215"
"DelftX/CTB3365DWx/3T2014_5629917","61393","9009","14.67","13","16","22"
"DelftX/CTB3365DWx/3T2014_330476","9155","3233","35.31","12","55","118"
"DelftX/CTB3365DWx/3T2014_2388316","74621","10996","14.74","19","107","221"
"DelftX/CTB3365DWx/3T2014_1950144","11811","1061","8.98","3","43","115"
"DelftX/CTB3365DWx/3T2014_1849501","59686","552","0.92","4","76","280"
"DelftX/CTB3365DWx/3T2014_2517920","37503","3983","10.62","15","60","142"
"DelftX/CTB3365DWx/3T2014_1264105","791","0","0.00","0","28","294"
"DelftX/CTB3365DWx/3T2014_2094477","57809","316","0.55","2","97","236"
"DelftX/CTB3365DWx/3T2014_2283990","35881","3977","11.08","6","105","152"
"DelftX/CTB3365DWx/3T2014_2155313","35931","3649","10.16","13","53","59"
"DelftX/CTB3365DWx/3T2014_5639418","4087","639","15.63","3","82","10"
"DelftX/CTB3365DWx/3T2014_497501","1791","0","0.00","1","18","257"
"DelftX/CTB3365DWx/3T2014_1034993","47052","4137","8.79","14","74","96"
"DelftX/CTB3365DWx/3T2014_5505883","31548","7321","23.21","14","121","299"
"DelftX/CTB3365DWx/3T2014_784977","34538","3116","9.02","9","80","211"
"DelftX/CTB3365DWx/3T2014_5639546","20230","997","4.93","7","16","22"
"DelftX/CTB3365DWx/3T2014_1950157","1986","0","0.00","0","82","5"
"DelftX/CTB3365DWx/3T2014_5525494","28811","0","0.00","0","64","145"
"DelftX/CTB3365DWx/3T2014_2345371","13299","5107","38.40","9","7","13"
"DelftX/CTB3365DWx/3T2014_2850627","24803","2641","10.65","13","21","51"
"DelftX/CTB3365DWx/3T2014_5536819","34154","614","1.80","2","43","96"
"DelftX/CTB3365DWx/3T2014_2143446","10234","31","0.30","1","117","171"
"DelftX/CTB3365DWx/3T2014_5381858","7079","0","0.00","0","52","96"
"DelftX/CTB3365DWx/3T2014_5517991","66516","1450","2.18","10","67","59"
"DelftX/CTB3365DWx/3T2014_960642","51461","5906","11.48","19","52","265"
"DelftX/CTB3365DWx/3T2014_3980492","71994","8344","11.59","20","81","206"
"DelftX/CTB3365DWx/3T2014_953793","24130","4498","18.64","22","82","40"
"DelftX/CTB3365DWx/3T2014_1652659","60529","9104","15.04","10","107","240"
"DelftX/CTB3365DWx/3T2014_4772783","15788","3167","20.06","16","24","102"
"DelftX/CTB3365DWx/3T2014_1122525","24704","1745","7.06","12","51","127"
"DelftX/CTB3365DWx/3T2014_2461842","1433","0","0.00","0","28","249"
"DelftX/CTB3365DWx/3T2014_2306394","15892","0","0.00","0","49","187"
"DelftX/CTB3365DWx/3T2014_2294514","19166","2181","11.38","13","66","132"
"DelftX/CTB3365DWx/3T2014_2757159","31193","1487","4.77","2","17","18"
"DelftX/CTB3365DWx/3T2014_5588923","32809","1939","5.91","18","37","40"
"DelftX/CTB3365DWx/3T2014_5197698","2124","0","0.00","0","28","225"
"DelftX/CTB3365DWx/3T2014_5397087","40146","2620","6.53","6","97","233"
"DelftX/CTB3365DWx/3T2014_2345823","32700","9051","27.68","18","117","268"
"DelftX/CTB3365DWx/3T2014_5551759","34089","4230","12.41","14","99","178"
"DelftX/CTB3365DWx/3T2014_5197927","82913","3154","3.80","10","114","247"
"DelftX/CTB3365DWx/3T2014_5764687","4431","102","2.30","1","121","145"
"DelftX/CTB3365DWx/3T2014_2900956","42353","576","1.36","1","65","90"
"DelftX/CTB3365DWx/3T2014_5638669","16435","57","0.35","1","19","151"
"DelftX/CTB3365DWx/3T2014_5681375","4648","938","20.18","4","28","129"
"DelftX/CTB3365DWx/3T2014_5682581","46537","4988","10.72","21","82","133"
"DelftX/CTB3365DWx/3T2014_3527584","21666","3333","15.38","8","66","174"
"DelftX/CTB3365DWx/3T2014_5683793","673","0","0.00","6","7","0"
"DelftX/CTB3365DWx/3T2014_2949872","16996","3552","20.90","8","26","178"
"DelftX/CTB3365DWx/3T2014_5658482","39563","4035","10.20","22","54","0"
"DelftX/CTB3365DWx/3T2014_5644669","40006","663","1.66","4","66","176"
"DelftX/CTB3365DWx/3T2014_531284","29201","4103","14.05","18","82","92"
"DelftX/CTB3365DWx/3T2014_5074290","15242","3345","21.95","8","44","38"
"DelftX/CTB3365DWx/3T2014_5540770","79808","5349","6.70","19","121","231"
"DelftX/CTB3365DWx/3T2014_2288539","65012","3004","4.62","11","75","56"
"DelftX/CTB3365DWx/3T2014_2136927","44877","10","0.02","1","116","242"
"DelftX/CTB3365DWx/3T2014_3632234","32489","172","0.53","1","28","122"
"DelftX/CTB3365DWx/3T2014_5632433","5730","55","0.96","1","7","5"
"DelftX/CTB3365DWx/3T2014_5593481","15554","96","0.62","3","21","1"
"DelftX/CTB3365DWx/3T2014_5057034","31445","1054","3.35","8","72","141"
"DelftX/CTB3365DWx/3T2014_2516112","32731","44","0.13","1","66","8"
"DelftX/CTB3365DWx/3T2014_834267","15260","21","0.14","8","82","168"
"DelftX/CTB3365DWx/3T2014_4717292","46218","8209","17.76","16","59","221"
"DelftX/CTB3365DWx/3T2014_5714323","41574","2621","6.30","6","81","113"
"DelftX/CTB3365DWx/3T2014_4781115","17886","2891","16.16","20","56","231"
"DelftX/CTB3365DWx/3T2014_4249864","29372","2296","7.82","10","59","92"
"DelftX/CTB3365DWx/3T2014_5475625","47397","6573","13.87","14","111","213"
"DelftX/CTB3365DWx/3T2014_4492589","65449","7534","11.51","23","87","190"
"DelftX/CTB3365DWx/3T2014_678087","25250","4224","16.73","13","82","42"
"DelftX/CTB3365DWx/3T2014_2311310","41559","4260","10.25","6","108","159"
"DelftX/CTB3365DWx/3T2014_1968033","27515","0","0.00","9","51","109"
