"User_id","Time on platform","Time on videos","Ratio video/platform","Distict videos","Assignments","Until deadline"
"DelftX/CTB3365DWx/3T2014_302090","1658","0","0.00","0","35","65"
"DelftX/CTB3365DWx/3T2014_5602574","113569","5995","5.28","18","150","21"
"DelftX/CTB3365DWx/3T2014_2363952","27959","2541","9.09","11","107","210"
"DelftX/CTB3365DWx/3T2014_2583213","36888","2253","6.11","7","70","200"
"DelftX/CTB3365DWx/3T2014_5642909","68710","6048","8.80","9","131","34"
"DelftX/CTB3365DWx/3T2014_3606755","85297","8011","9.39","30","170","159"
"DelftX/CTB3365DWx/3T2014_4629964","46964","6440","13.71","19","99","18"
"DelftX/CTB3365DWx/3T2014_5570410","141803","3752","2.65","8","159","214"
"DelftX/CTB3365DWx/3T2014_402019","66968","13091","19.55","40","150","140"
"DelftX/CTB3365DWx/3T2014_1767337","18548","237","1.28","4","166","260"
"DelftX/CTB3365DWx/3T2014_2307455","96628","587","0.61","10","175","118"
"DelftX/CTB3365DWx/3T2014_612190","30816","9726","31.56","21","145","271"
"DelftX/CTB3365DWx/3T2014_5208651","60817","12148","19.97","43","177","82"
"DelftX/CTB3365DWx/3T2014_5080948","20496","87","0.42","3","31","6"
"DelftX/CTB3365DWx/3T2014_5634299","57733","7512","13.01","16","177","132"
"DelftX/CTB3365DWx/3T2014_455912","3465","0","0.00","2","66","236"
"DelftX/CTB3365DWx/3T2014_5563678","78932","9001","11.40","26","177","203"
"DelftX/CTB3365DWx/3T2014_4972529","83940","4941","5.89","17","162","239"
"DelftX/CTB3365DWx/3T2014_2799942","78689","4662","5.92","14","85","196"
"DelftX/CTB3365DWx/3T2014_5853808","8523","4557","53.47","7","15","0"
"DelftX/CTB3365DWx/3T2014_2391735","66935","620","0.93","2","167","141"
"DelftX/CTB3365DWx/3T2014_5607453","33008","5990","18.15","25","143","167"
"DelftX/CTB3365DWx/3T2014_4755990","57231","4194","7.33","12","137","102"
"DelftX/CTB3365DWx/3T2014_3305374","69631","9275","13.32","19","157","222"
"DelftX/CTB3365DWx/3T2014_5665244","86371","1457","1.69","16","133","92"
"DelftX/CTB3365DWx/3T2014_5343941","14833","0","0.00","0","41","34"
"DelftX/CTB3365DWx/3T2014_3410565","18910","2353","12.44","7","147","7"
"DelftX/CTB3365DWx/3T2014_5702603","94444","8779","9.30","24","170","210"
"DelftX/CTB3365DWx/3T2014_5540665","53954","7990","14.81","15","135","249"
"DelftX/CTB3365DWx/3T2014_5774916","15765","6","0.04","1","61","112"
"DelftX/CTB3365DWx/3T2014_2257644","46194","9868","21.36","29","174","138"
"DelftX/CTB3365DWx/3T2014_5502867","49705","7586","15.26","16","177","269"
"DelftX/CTB3365DWx/3T2014_1300984","35960","3388","9.42","18","116","176"
"DelftX/CTB3365DWx/3T2014_1675129","48217","3889","8.07","20","177","226"
"DelftX/CTB3365DWx/3T2014_2938530","68785","7419","10.79","25","112","59"
"DelftX/CTB3365DWx/3T2014_4412254","146837","8916","6.07","30","118","74"
"DelftX/CTB3365DWx/3T2014_5019797","107544","14059","13.07","48","153","51"
"DelftX/CTB3365DWx/3T2014_2522834","20707","575","2.78","7","98","0"
"DelftX/CTB3365DWx/3T2014_5537844","69940","9771","13.97","36","121","128"
"DelftX/CTB3365DWx/3T2014_948543","7848","841","10.72","3","67","298"
"DelftX/CTB3365DWx/3T2014_1298778","44757","1054","2.35","7","86","18"
"DelftX/CTB3365DWx/3T2014_5263158","166816","47633","28.55","31","138","152"
"DelftX/CTB3365DWx/3T2014_4537282","106980","554","0.52","7","160","222"
"DelftX/CTB3365DWx/3T2014_4876511","128479","11966","9.31","29","41","23"
