"User_id","Time on platform","Time on videos","Ratio video/platform","Distict videos","Assignments","Until deadline"
"DelftX/CTB3365DWx/3T2014_302090","1710","0","0.00","0","35","65"
"DelftX/CTB3365DWx/3T2014_5602574","119823","6785","5.66","18","174","21"
"DelftX/CTB3365DWx/3T2014_2363952","41510","2550","6.14","11","126","190"
"DelftX/CTB3365DWx/3T2014_2583213","55253","2253","4.08","7","85","179"
"DelftX/CTB3365DWx/3T2014_5642909","82299","6048","7.35","9","148","30"
"DelftX/CTB3365DWx/3T2014_3606755","131805","12339","9.36","30","192","160"
"DelftX/CTB3365DWx/3T2014_4629964","71833","10043","13.98","19","158","49"
"DelftX/CTB3365DWx/3T2014_5570410","152309","4018","2.64","8","159","214"
"DelftX/CTB3365DWx/3T2014_402019","88513","19400","21.92","40","180","132"
"DelftX/CTB3365DWx/3T2014_1767337","22580","469","2.08","4","167","260"
"DelftX/CTB3365DWx/3T2014_2307455","134687","1047","0.78","10","175","118"
"DelftX/CTB3365DWx/3T2014_612190","46433","13227","28.49","21","170","248"
"DelftX/CTB3365DWx/3T2014_5208651","87812","15000","17.08","43","192","92"
"DelftX/CTB3365DWx/3T2014_5080948","37872","502","1.33","3","49","6"
"DelftX/CTB3365DWx/3T2014_5634299","60409","7512","12.44","16","177","132"
"DelftX/CTB3365DWx/3T2014_455912","3735","0","0.00","2","66","236"
"DelftX/CTB3365DWx/3T2014_5563678","98518","12049","12.23","26","192","206"
"DelftX/CTB3365DWx/3T2014_4972529","91609","5115","5.58","17","172","235"
"DelftX/CTB3365DWx/3T2014_2799942","89797","5249","5.85","14","94","178"
"DelftX/CTB3365DWx/3T2014_5853808","12061","5479","45.43","7","22","0"
"DelftX/CTB3365DWx/3T2014_2391735","79580","808","1.02","2","187","150"
"DelftX/CTB3365DWx/3T2014_5607453","47754","7608","15.93","25","176","165"
"DelftX/CTB3365DWx/3T2014_4755990","67063","4209","6.28","12","161","91"
"DelftX/CTB3365DWx/3T2014_3305374","96041","12734","13.26","19","157","222"
"DelftX/CTB3365DWx/3T2014_5665244","104916","7390","7.04","16","153","80"
"DelftX/CTB3365DWx/3T2014_5343941","20713","0","0.00","0","50","38"
"DelftX/CTB3365DWx/3T2014_3410565","21893","3024","13.81","7","170","9"
"DelftX/CTB3365DWx/3T2014_5702603","117310","10780","9.19","24","187","209"
"DelftX/CTB3365DWx/3T2014_5540665","62314","7990","12.82","15","150","246"
"DelftX/CTB3365DWx/3T2014_5774916","18539","6","0.03","1","77","121"
"DelftX/CTB3365DWx/3T2014_2257644","48746","9878","20.26","29","174","138"
"DelftX/CTB3365DWx/3T2014_5502867","50557","7586","15.00","16","177","269"
"DelftX/CTB3365DWx/3T2014_1300984","37340","3890","10.42","18","116","176"
"DelftX/CTB3365DWx/3T2014_1675129","59194","4868","8.22","20","191","232"
"DelftX/CTB3365DWx/3T2014_2938530","80963","10023","12.38","25","137","53"
"DelftX/CTB3365DWx/3T2014_4412254","178841","12899","7.21","30","134","73"
"DelftX/CTB3365DWx/3T2014_5019797","158442","26703","16.85","48","177","46"
"DelftX/CTB3365DWx/3T2014_2522834","28237","575","2.04","7","133","0"
"DelftX/CTB3365DWx/3T2014_5537844","115426","17360","15.04","36","177","98"
"DelftX/CTB3365DWx/3T2014_948543","7848","841","10.72","3","67","298"
"DelftX/CTB3365DWx/3T2014_1298778","65841","2015","3.06","7","111","14"
"DelftX/CTB3365DWx/3T2014_5263158","196851","52620","26.73","31","150","152"
"DelftX/CTB3365DWx/3T2014_4537282","122668","554","0.45","7","162","221"
"DelftX/CTB3365DWx/3T2014_4876511","268658","22484","8.37","29","66","43"
"DelftX/CTB3365DWx/3T2014_5223032","25359","4943","19.49","11","42","0"
"DelftX/CTB3365DWx/3T2014_5473536","219314","22958","10.47","33","177","32"
"DelftX/CTB3365DWx/3T2014_5601931","177459","49","0.03","1","182","184"
"DelftX/CTB3365DWx/3T2014_5632879","87973","6644","7.55","20","177","95"
"DelftX/CTB3365DWx/3T2014_2043279","61713","7878","12.77","15","117","87"
"DelftX/CTB3365DWx/3T2014_5082418","42104","9089","21.59","28","124","0"
"DelftX/CTB3365DWx/3T2014_4490657","139996","13706","9.79","41","191","263"
"DelftX/CTB3365DWx/3T2014_4276451","86063","11143","12.95","23","159","126"
"DelftX/CTB3365DWx/3T2014_4235823","95142","3142","3.30","9","166","53"
"DelftX/CTB3365DWx/3T2014_5089295","93864","10670","11.37","40","177","114"
"DelftX/CTB3365DWx/3T2014_1742861","1205","0","0.00","0","57","297"
"DelftX/CTB3365DWx/3T2014_4589890","110543","8280","7.49","31","166","58"
"DelftX/CTB3365DWx/3T2014_5141032","229414","23403","10.20","34","185","267"
"DelftX/CTB3365DWx/3T2014_5483558","81568","13356","16.37","18","61","153"
"DelftX/CTB3365DWx/3T2014_3187308","174687","12442","7.12","25","192","248"
"DelftX/CTB3365DWx/3T2014_2024021","27724","71","0.26","1","76","176"
"DelftX/CTB3365DWx/3T2014_5629917","95981","14042","14.63","18","86","16"
"DelftX/CTB3365DWx/3T2014_330476","25945","8434","32.51","17","174","53"
"DelftX/CTB3365DWx/3T2014_2388316","145121","20105","13.85","24","173","156"
"DelftX/CTB3365DWx/3T2014_1950144","12430","1061","8.54","3","60","83"
"DelftX/CTB3365DWx/3T2014_1849501","117539","2247","1.91","6","168","249"
"DelftX/CTB3365DWx/3T2014_2517920","73402","7603","10.36","22","174","49"
"DelftX/CTB3365DWx/3T2014_1264105","4277","0","0.00","0","50","280"
"DelftX/CTB3365DWx/3T2014_2094477","85987","316","0.37","2","156","162"
"DelftX/CTB3365DWx/3T2014_2283990","75193","6595","8.77","18","186","164"
"DelftX/CTB3365DWx/3T2014_2155313","76913","8588","11.17","18","85","37"
