"User_id","Time on platform","Time on videos","Ratio video/platform","Distict videos","Assignments","Until deadline"
"DelftX/CTB3365DWx/3T2014_302090","1710","0","0.00","0","35","65"
"DelftX/CTB3365DWx/3T2014_5602574","119823","6785","5.66","18","174","21"
"DelftX/CTB3365DWx/3T2014_2363952","43657","2556","5.85","11","134","188"
"DelftX/CTB3365DWx/3T2014_2583213","78654","2280","2.90","7","100","174"
"DelftX/CTB3365DWx/3T2014_5642909","85882","6048","7.04","9","148","30"
"DelftX/CTB3365DWx/3T2014_3606755","134053","12339","9.20","30","192","160"
"DelftX/CTB3365DWx/3T2014_4629964","71833","10043","13.98","19","158","49"
"DelftX/CTB3365DWx/3T2014_5570410","154366","4018","2.60","8","164","210"
"DelftX/CTB3365DWx/3T2014_402019","98845","19400","19.63","40","189","129"
"DelftX/CTB3365DWx/3T2014_1767337","22580","469","2.08","4","167","260"
"DelftX/CTB3365DWx/3T2014_2307455","146982","1047","0.71","10","190","120"
"DelftX/CTB3365DWx/3T2014_612190","46624","13227","28.37","21","170","248"
"DelftX/CTB3365DWx/3T2014_5208651","88323","15028","17.01","43","192","92"
"DelftX/CTB3365DWx/3T2014_5080948","37872","502","1.33","3","49","6"
"DelftX/CTB3365DWx/3T2014_5634299","60409","7512","12.44","16","177","132"
"DelftX/CTB3365DWx/3T2014_455912","3786","0","0.00","2","66","236"
"DelftX/CTB3365DWx/3T2014_5563678","100042","12049","12.04","26","192","206"
"DelftX/CTB3365DWx/3T2014_4972529","98833","5115","5.18","17","177","229"
"DelftX/CTB3365DWx/3T2014_2799942","105265","5925","5.63","14","94","178"
"DelftX/CTB3365DWx/3T2014_5853808","12061","5479","45.43","7","22","0"
"DelftX/CTB3365DWx/3T2014_2391735","79580","808","1.02","2","187","150"
"DelftX/CTB3365DWx/3T2014_5607453","47754","7608","15.93","25","176","165"
"DelftX/CTB3365DWx/3T2014_4755990","67322","4209","6.25","12","161","91"
"DelftX/CTB3365DWx/3T2014_3305374","106036","12734","12.01","19","168","209"
"DelftX/CTB3365DWx/3T2014_5665244","114488","8150","7.12","16","189","65"
"DelftX/CTB3365DWx/3T2014_5343941","39482","0","0.00","0","152","20"
"DelftX/CTB3365DWx/3T2014_3410565","23205","3024","13.03","7","170","9"
"DelftX/CTB3365DWx/3T2014_5702603","121363","10780","8.88","24","192","208"
"DelftX/CTB3365DWx/3T2014_5540665","62314","7990","12.82","15","150","246"
"DelftX/CTB3365DWx/3T2014_5774916","28469","6","0.02","1","83","118"
"DelftX/CTB3365DWx/3T2014_2257644","48826","9878","20.23","29","174","138"
"DelftX/CTB3365DWx/3T2014_5502867","50557","7586","15.00","16","177","269"
"DelftX/CTB3365DWx/3T2014_1300984","37932","4382","11.55","18","116","176"
"DelftX/CTB3365DWx/3T2014_1675129","59194","4868","8.22","20","191","232"
"DelftX/CTB3365DWx/3T2014_2938530","89062","10023","11.25","25","137","53"
"DelftX/CTB3365DWx/3T2014_4412254","183206","13471","7.35","30","134","73"
"DelftX/CTB3365DWx/3T2014_5019797","179904","26804","14.90","48","192","49"
"DelftX/CTB3365DWx/3T2014_2522834","37703","575","1.53","7","158","12"
"DelftX/CTB3365DWx/3T2014_5537844","117448","17360","14.78","36","177","98"
"DelftX/CTB3365DWx/3T2014_948543","7848","841","10.72","3","67","298"
"DelftX/CTB3365DWx/3T2014_1298778","70706","2015","2.85","7","111","14"
"DelftX/CTB3365DWx/3T2014_5263158","212694","53713","25.25","31","159","147"
"DelftX/CTB3365DWx/3T2014_4537282","148645","554","0.37","7","171","214"
"DelftX/CTB3365DWx/3T2014_4876511","300772","22779","7.57","29","105","36"
"DelftX/CTB3365DWx/3T2014_5223032","26845","4943","18.41","11","54","0"
"DelftX/CTB3365DWx/3T2014_5473536","222091","23032","10.37","33","177","32"
"DelftX/CTB3365DWx/3T2014_5601931","182334","49","0.03","1","190","179"
"DelftX/CTB3365DWx/3T2014_5632879","88218","6644","7.53","20","177","95"
"DelftX/CTB3365DWx/3T2014_2043279","61713","7878","12.77","15","117","87"
"DelftX/CTB3365DWx/3T2014_5082418","87285","15882","18.20","28","139","0"
"DelftX/CTB3365DWx/3T2014_4490657","139996","13706","9.79","41","191","263"
"DelftX/CTB3365DWx/3T2014_4276451","97708","11767","12.04","23","159","126"
"DelftX/CTB3365DWx/3T2014_4235823","95709","3353","3.50","9","166","53"
"DelftX/CTB3365DWx/3T2014_5089295","93864","10670","11.37","40","177","114"
"DelftX/CTB3365DWx/3T2014_1742861","1205","0","0.00","0","57","297"
"DelftX/CTB3365DWx/3T2014_4589890","121403","8809","7.26","31","169","57"
"DelftX/CTB3365DWx/3T2014_5141032","229987","23403","10.18","34","185","267"
"DelftX/CTB3365DWx/3T2014_5483558","82383","13356","16.21","18","61","153"
"DelftX/CTB3365DWx/3T2014_3187308","174687","12442","7.12","25","192","248"
"DelftX/CTB3365DWx/3T2014_2024021","33626","71","0.21","1","91","171"
"DelftX/CTB3365DWx/3T2014_5629917","95981","14042","14.63","18","86","16"
"DelftX/CTB3365DWx/3T2014_330476","25945","8434","32.51","17","174","53"
"DelftX/CTB3365DWx/3T2014_2388316","145326","20105","13.83","24","173","156"
"DelftX/CTB3365DWx/3T2014_1950144","23188","1233","5.32","3","75","80"
"DelftX/CTB3365DWx/3T2014_1849501","133727","2247","1.68","6","183","235"
"DelftX/CTB3365DWx/3T2014_2517920","99014","9124","9.21","22","174","49"
"DelftX/CTB3365DWx/3T2014_1264105","4277","0","0.00","0","50","280"
"DelftX/CTB3365DWx/3T2014_2094477","86462","316","0.37","2","157","161"
"DelftX/CTB3365DWx/3T2014_2283990","75204","6595","8.77","18","186","164"
"DelftX/CTB3365DWx/3T2014_2155313","76913","8588","11.17","18","85","37"
