"User_id","Time on platform","Time on videos","Ratio video/platform","Distict videos","Assignments","Until deadline"
"DelftX/CTB3365DWx/3T2014_302090","882","0","0.00","0","7","77"
"DelftX/CTB3365DWx/3T2014_5602574","28030","1816","6.48","12","41","12"
"DelftX/CTB3365DWx/3T2014_2363952","11117","1753","15.77","4","72","214"
"DelftX/CTB3365DWx/3T2014_2583213","19147","2253","11.77","6","54","244"
"DelftX/CTB3365DWx/3T2014_5642909","33966","4620","13.60","7","45","63"
"DelftX/CTB3365DWx/3T2014_3606755","46986","3846","8.19","14","70","213"
"DelftX/CTB3365DWx/3T2014_4629964","7152","1743","24.37","12","33","26"
"DelftX/CTB3365DWx/3T2014_5570410","68601","190","0.28","3","69","239"
"DelftX/CTB3365DWx/3T2014_402019","25907","4400","16.98","9","62","195"
"DelftX/CTB3365DWx/3T2014_1767337","10553","237","2.25","2","74","249"
"DelftX/CTB3365DWx/3T2014_2307455","33435","403","1.21","2","40","67"
"DelftX/CTB3365DWx/3T2014_612190","12761","4719","36.98","11","81","243"
"DelftX/CTB3365DWx/3T2014_5208651","14782","2523","17.07","13","50","25"
"DelftX/CTB3365DWx/3T2014_5080948","2944","87","2.96","1","7","30"
"DelftX/CTB3365DWx/3T2014_5634299","25863","2769","10.71","8","71","123"
"DelftX/CTB3365DWx/3T2014_455912","1858","0","0.00","2","39","243"
"DelftX/CTB3365DWx/3T2014_5563678","26596","2348","8.83","8","67","159"
"DelftX/CTB3365DWx/3T2014_4972529","45127","2952","6.54","9","76","259"
"DelftX/CTB3365DWx/3T2014_2799942","35928","1633","4.55","6","60","255"
"DelftX/CTB3365DWx/3T2014_5853808","0","0","0.00","7","0","0"
"DelftX/CTB3365DWx/3T2014_2391735","22802","0","0.00","0","50","69"
"DelftX/CTB3365DWx/3T2014_5607453","17072","2149","12.59","12","47","144"
"DelftX/CTB3365DWx/3T2014_4755990","19460","2793","14.35","10","50","176"
"DelftX/CTB3365DWx/3T2014_3305374","39110","4420","11.30","6","81","237"
"DelftX/CTB3365DWx/3T2014_5665244","56590","909","1.61","6","71","146"
"DelftX/CTB3365DWx/3T2014_5343941","2430","0","0.00","0","8","76"
"DelftX/CTB3365DWx/3T2014_3410565","9551","1631","17.08","6","47","16"
"DelftX/CTB3365DWx/3T2014_5702603","17444","952","5.46","9","71","172"
"DelftX/CTB3365DWx/3T2014_5540665","29137","3626","12.44","6","82","237"
"DelftX/CTB3365DWx/3T2014_5774916","1239","6","0.48","1","0","0"
"DelftX/CTB3365DWx/3T2014_2257644","14549","2809","19.31","14","50","201"
"DelftX/CTB3365DWx/3T2014_5502867","31232","4358","13.95","8","82","280"
