"User_id","Time on platform","Time on videos","Ratio video/platform","Distict videos","Assignments","Until deadline"
"DelftX/CTB3365DWx/3T2014_302090","1658","0","0.00","0","35","65"
"DelftX/CTB3365DWx/3T2014_5602574","119743","6785","5.67","18","174","21"
"DelftX/CTB3365DWx/3T2014_2363952","31849","2550","8.01","11","119","191"
"DelftX/CTB3365DWx/3T2014_2583213","49918","2253","4.51","7","85","179"
"DelftX/CTB3365DWx/3T2014_5642909","77559","6048","7.80","9","148","30"
"DelftX/CTB3365DWx/3T2014_3606755","89632","9032","10.08","30","177","159"
"DelftX/CTB3365DWx/3T2014_4629964","58856","8677","14.74","19","143","33"
"DelftX/CTB3365DWx/3T2014_5570410","148147","4018","2.71","8","159","214"
"DelftX/CTB3365DWx/3T2014_402019","77539","17859","23.03","40","174","130"
"DelftX/CTB3365DWx/3T2014_1767337","19528","469","2.40","4","166","260"
"DelftX/CTB3365DWx/3T2014_2307455","101213","587","0.58","10","175","118"
"DelftX/CTB3365DWx/3T2014_612190","31538","9749","30.91","21","145","271"
"DelftX/CTB3365DWx/3T2014_5208651","78907","14783","18.73","43","177","82"
"DelftX/CTB3365DWx/3T2014_5080948","29925","502","1.68","3","49","6"
"DelftX/CTB3365DWx/3T2014_5634299","57792","7512","13.00","16","177","132"
"DelftX/CTB3365DWx/3T2014_455912","3662","0","0.00","2","66","236"
"DelftX/CTB3365DWx/3T2014_5563678","82843","10514","12.69","26","177","203"
"DelftX/CTB3365DWx/3T2014_4972529","85262","5115","6.00","17","162","239"
"DelftX/CTB3365DWx/3T2014_2799942","86359","5249","6.08","14","94","178"
"DelftX/CTB3365DWx/3T2014_5853808","10854","5479","50.48","7","15","0"
"DelftX/CTB3365DWx/3T2014_2391735","73569","620","0.84","2","174","141"
"DelftX/CTB3365DWx/3T2014_5607453","35740","7060","19.75","25","161","160"
"DelftX/CTB3365DWx/3T2014_4755990","62928","4194","6.66","12","161","91"
"DelftX/CTB3365DWx/3T2014_3305374","74326","9826","13.22","19","157","222"
"DelftX/CTB3365DWx/3T2014_5665244","89428","1457","1.63","16","140","87"
"DelftX/CTB3365DWx/3T2014_5343941","20476","0","0.00","0","50","38"
"DelftX/CTB3365DWx/3T2014_3410565","20732","3024","14.59","7","170","9"
"DelftX/CTB3365DWx/3T2014_5702603","110830","10540","9.51","24","177","208"
"DelftX/CTB3365DWx/3T2014_5540665","53954","7990","14.81","15","135","249"
"DelftX/CTB3365DWx/3T2014_5774916","17294","6","0.03","1","68","109"
"DelftX/CTB3365DWx/3T2014_2257644","46872","9878","21.07","29","174","138"
"DelftX/CTB3365DWx/3T2014_5502867","50334","7586","15.07","16","177","269"
"DelftX/CTB3365DWx/3T2014_1300984","36494","3704","10.15","18","116","176"
"DelftX/CTB3365DWx/3T2014_1675129","52250","4868","9.32","20","177","226"
"DelftX/CTB3365DWx/3T2014_2938530","77263","8574","11.10","25","137","53"
"DelftX/CTB3365DWx/3T2014_4412254","168004","11206","6.67","30","134","73"
