"User_id","Time on platform","Time on videos","Ratio video/platform","Distict videos","Assignments","Until deadline"
"DelftX/CTB3365DWx/3T2014_302090","1710","0","0.00","0","35","65"
"DelftX/CTB3365DWx/3T2014_5602574","119823","6785","5.66","18","174","21"
"DelftX/CTB3365DWx/3T2014_2363952","43657","2556","5.85","11","134","188"
"DelftX/CTB3365DWx/3T2014_2583213","78654","2280","2.90","7","100","174"
"DelftX/CTB3365DWx/3T2014_5642909","85882","6048","7.04","9","148","30"
"DelftX/CTB3365DWx/3T2014_3606755","134053","12339","9.20","30","192","160"
"DelftX/CTB3365DWx/3T2014_4629964","71833","10043","13.98","19","158","49"
"DelftX/CTB3365DWx/3T2014_5570410","154366","4018","2.60","8","164","210"
"DelftX/CTB3365DWx/3T2014_402019","98845","19400","19.63","40","189","129"
"DelftX/CTB3365DWx/3T2014_1767337","22580","469","2.08","4","167","260"
"DelftX/CTB3365DWx/3T2014_2307455","147099","1047","0.71","10","190","120"
"DelftX/CTB3365DWx/3T2014_612190","46624","13227","28.37","21","170","248"
"DelftX/CTB3365DWx/3T2014_5208651","88323","15028","17.01","43","192","92"
"DelftX/CTB3365DWx/3T2014_5080948","37872","502","1.33","3","49","6"
"DelftX/CTB3365DWx/3T2014_5634299","60409","7512","12.44","16","177","132"
"DelftX/CTB3365DWx/3T2014_455912","7460","176","2.36","2","126","123"
"DelftX/CTB3365DWx/3T2014_5563678","100042","12049","12.04","26","192","206"
"DelftX/CTB3365DWx/3T2014_4972529","99616","5115","5.13","17","177","229"
"DelftX/CTB3365DWx/3T2014_2799942","105265","5925","5.63","14","94","178"
"DelftX/CTB3365DWx/3T2014_5853808","12061","5479","45.43","7","22","0"
"DelftX/CTB3365DWx/3T2014_2391735","79580","808","1.02","2","187","150"
"DelftX/CTB3365DWx/3T2014_5607453","47754","7608","15.93","25","176","165"
"DelftX/CTB3365DWx/3T2014_4755990","67327","4209","6.25","12","161","91"
"DelftX/CTB3365DWx/3T2014_3305374","106036","12734","12.01","19","168","209"
"DelftX/CTB3365DWx/3T2014_5665244","114714","8150","7.10","16","189","65"
"DelftX/CTB3365DWx/3T2014_5343941","39482","0","0.00","0","152","20"
"DelftX/CTB3365DWx/3T2014_3410565","23205","3024","13.03","7","170","9"
"DelftX/CTB3365DWx/3T2014_5702603","121363","10780","8.88","24","192","208"
"DelftX/CTB3365DWx/3T2014_5540665","62314","7990","12.82","15","150","246"
"DelftX/CTB3365DWx/3T2014_5774916","28469","6","0.02","1","83","118"
"DelftX/CTB3365DWx/3T2014_2257644","63219","11277","17.84","29","188","128"
"DelftX/CTB3365DWx/3T2014_5502867","50557","7586","15.00","16","177","269"
"DelftX/CTB3365DWx/3T2014_1300984","37932","4382","11.55","18","116","176"
"DelftX/CTB3365DWx/3T2014_1675129","59194","4868","8.22","20","191","232"
"DelftX/CTB3365DWx/3T2014_2938530","89062","10023","11.25","25","137","53"
"DelftX/CTB3365DWx/3T2014_4412254","184957","13471","7.28","30","134","73"
"DelftX/CTB3365DWx/3T2014_5019797","179904","26804","14.90","48","192","49"
"DelftX/CTB3365DWx/3T2014_2522834","37737","575","1.52","7","158","12"
"DelftX/CTB3365DWx/3T2014_5537844","117448","17360","14.78","36","177","98"
"DelftX/CTB3365DWx/3T2014_948543","7848","841","10.72","3","67","298"
"DelftX/CTB3365DWx/3T2014_1298778","72458","2015","2.78","7","111","14"
"DelftX/CTB3365DWx/3T2014_5263158","212694","53713","25.25","31","159","147"
"DelftX/CTB3365DWx/3T2014_4537282","154464","563","0.36","7","175","209"
"DelftX/CTB3365DWx/3T2014_4876511","310228","22779","7.34","29","115","33"
"DelftX/CTB3365DWx/3T2014_5223032","28318","4943","17.46","11","54","0"
"DelftX/CTB3365DWx/3T2014_5473536","226155","23032","10.18","33","178","32"
"DelftX/CTB3365DWx/3T2014_5601931","185950","49","0.03","1","191","178"
"DelftX/CTB3365DWx/3T2014_5632879","88218","6644","7.53","20","177","95"
"DelftX/CTB3365DWx/3T2014_2043279","61713","7878","12.77","15","117","87"
"DelftX/CTB3365DWx/3T2014_5082418","99324","16232","16.34","28","148","0"
"DelftX/CTB3365DWx/3T2014_4490657","139996","13706","9.79","41","191","263"
"DelftX/CTB3365DWx/3T2014_4276451","98147","11767","11.99","23","159","126"
"DelftX/CTB3365DWx/3T2014_4235823","99564","3607","3.62","9","166","53"
"DelftX/CTB3365DWx/3T2014_5089295","93864","10670","11.37","40","177","114"
"DelftX/CTB3365DWx/3T2014_1742861","1205","0","0.00","0","57","297"
"DelftX/CTB3365DWx/3T2014_4589890","130838","8859","6.77","31","180","53"
"DelftX/CTB3365DWx/3T2014_5141032","230304","23403","10.16","34","185","267"
"DelftX/CTB3365DWx/3T2014_5483558","85859","13356","15.56","18","63","148"
"DelftX/CTB3365DWx/3T2014_3187308","174687","12442","7.12","25","192","248"
"DelftX/CTB3365DWx/3T2014_2024021","33626","71","0.21","1","91","171"
"DelftX/CTB3365DWx/3T2014_5629917","95981","14042","14.63","18","86","16"
"DelftX/CTB3365DWx/3T2014_330476","25945","8434","32.51","17","174","53"
"DelftX/CTB3365DWx/3T2014_2388316","145341","20105","13.83","24","173","156"
"DelftX/CTB3365DWx/3T2014_1950144","23188","1233","5.32","3","75","80"
"DelftX/CTB3365DWx/3T2014_1849501","133754","2247","1.68","6","183","235"
"DelftX/CTB3365DWx/3T2014_2517920","99014","9124","9.21","22","174","49"
"DelftX/CTB3365DWx/3T2014_1264105","4277","0","0.00","0","50","280"
"DelftX/CTB3365DWx/3T2014_2094477","95420","316","0.33","2","171","147"
"DelftX/CTB3365DWx/3T2014_2283990","75204","6595","8.77","18","186","164"
"DelftX/CTB3365DWx/3T2014_2155313","76913","8588","11.17","18","85","37"
