"User_id","Time on platform","Time on videos","Ratio video/platform","Distict videos","Assignments","Until deadline"
"DelftX/CTB3365DWx/3T2014_302090","1495","0","0.00","0","28","75"
"DelftX/CTB3365DWx/3T2014_5602574","95899","4279","4.46","17","118","21"
"DelftX/CTB3365DWx/3T2014_2363952","27959","2541","9.09","10","107","210"
"DelftX/CTB3365DWx/3T2014_2583213","32257","2253","6.98","7","66","212"
"DelftX/CTB3365DWx/3T2014_5642909","66583","6048","9.08","9","116","36"
"DelftX/CTB3365DWx/3T2014_3606755","74174","6797","9.16","28","121","180"
"DelftX/CTB3365DWx/3T2014_4629964","42169","6440","15.27","17","90","20"
"DelftX/CTB3365DWx/3T2014_5570410","115941","2285","1.97","6","125","205"
"DelftX/CTB3365DWx/3T2014_402019","58085","12541","21.59","29","133","152"
"DelftX/CTB3365DWx/3T2014_1767337","17237","237","1.37","4","142","266"
"DelftX/CTB3365DWx/3T2014_2307455","83747","403","0.48","10","137","91"
"DelftX/CTB3365DWx/3T2014_612190","26524","9023","34.02","19","127","268"
"DelftX/CTB3365DWx/3T2014_5208651","38923","8778","22.55","32","121","39"
"DelftX/CTB3365DWx/3T2014_5080948","12928","87","0.67","1","21","10"
"DelftX/CTB3365DWx/3T2014_5634299","40990","4447","10.85","14","121","123"
"DelftX/CTB3365DWx/3T2014_455912","2347","0","0.00","2","52","237"
"DelftX/CTB3365DWx/3T2014_5563678","62869","6918","11.00","23","141","198"
"DelftX/CTB3365DWx/3T2014_4972529","71415","4941","6.92","17","134","239"
"DelftX/CTB3365DWx/3T2014_2799942","63079","3289","5.21","12","77","209"
"DelftX/CTB3365DWx/3T2014_5853808","0","0","0.00","7","0","0"
"DelftX/CTB3365DWx/3T2014_2391735","54854","0","0.00","1","126","128"
"DelftX/CTB3365DWx/3T2014_5607453","33008","5990","18.15","21","143","167"
"DelftX/CTB3365DWx/3T2014_4755990","50942","3657","7.18","12","105","121"
"DelftX/CTB3365DWx/3T2014_3305374","63797","8202","12.86","17","142","214"
"DelftX/CTB3365DWx/3T2014_5665244","72727","1457","2.00","15","82","147"
"DelftX/CTB3365DWx/3T2014_5343941","2430","0","0.00","0","8","76"
"DelftX/CTB3365DWx/3T2014_3410565","16052","2353","14.66","6","89","9"
"DelftX/CTB3365DWx/3T2014_5702603","80245","6916","8.62","23","153","198"
"DelftX/CTB3365DWx/3T2014_5540665","52022","7990","15.36","15","128","246"
"DelftX/CTB3365DWx/3T2014_5774916","8325","6","0.07","1","49","119"
"DelftX/CTB3365DWx/3T2014_2257644","37277","8165","21.90","26","133","111"
"DelftX/CTB3365DWx/3T2014_5502867","45305","7174","15.83","14","153","268"
"DelftX/CTB3365DWx/3T2014_1300984","35960","3388","9.42","17","116","176"
"DelftX/CTB3365DWx/3T2014_1675129","44258","3690","8.34","18","153","224"
"DelftX/CTB3365DWx/3T2014_2938530","54808","6819","12.44","22","79","82"
"DelftX/CTB3365DWx/3T2014_4412254","112690","6715","5.96","28","83","77"
"DelftX/CTB3365DWx/3T2014_5019797","76817","11455","14.91","37","113","52"
"DelftX/CTB3365DWx/3T2014_2522834","16222","553","3.41","7","82","0"
"DelftX/CTB3365DWx/3T2014_5537844","60607","8886","14.66","33","121","128"
"DelftX/CTB3365DWx/3T2014_948543","7273","841","11.56","3","60","298"
"DelftX/CTB3365DWx/3T2014_1298778","42964","1054","2.45","6","85","18"
"DelftX/CTB3365DWx/3T2014_5263158","138792","40130","28.91","29","115","160"
"DelftX/CTB3365DWx/3T2014_4537282","94301","554","0.59","6","148","217"
"DelftX/CTB3365DWx/3T2014_4876511","104252","10620","10.19","27","25","8"
"DelftX/CTB3365DWx/3T2014_5223032","19701","3387","17.19","11","18","0"
"DelftX/CTB3365DWx/3T2014_5473536","75378","7644","10.14","31","118","25"
"DelftX/CTB3365DWx/3T2014_5601931","114561","49","0.04","1","123","202"
"DelftX/CTB3365DWx/3T2014_5632879","51709","4726","9.14","19","121","63"
"DelftX/CTB3365DWx/3T2014_2043279","25698","4027","15.67","15","59","141"
"DelftX/CTB3365DWx/3T2014_5082418","18589","3207","17.25","25","51","0"
"DelftX/CTB3365DWx/3T2014_4490657","92563","7930","8.57","28","142","270"
"DelftX/CTB3365DWx/3T2014_4276451","64718","6744","10.42","20","113","138"
"DelftX/CTB3365DWx/3T2014_4235823","45624","801","1.76","7","83","54"
"DelftX/CTB3365DWx/3T2014_5089295","74071","7297","9.85","27","146","119"
"DelftX/CTB3365DWx/3T2014_1742861","700","0","0.00","0","35","302"
"DelftX/CTB3365DWx/3T2014_4589890","71843","6350","8.84","29","130","68"
"DelftX/CTB3365DWx/3T2014_5141032","181744","18258","10.05","31","149","269"
"DelftX/CTB3365DWx/3T2014_5483558","56768","9420","16.59","16","44","193"
"DelftX/CTB3365DWx/3T2014_3187308","97889","4502","4.60","19","149","249"
"DelftX/CTB3365DWx/3T2014_2024021","17184","71","0.41","1","61","184"
"DelftX/CTB3365DWx/3T2014_5629917","67989","10571","15.55","16","18","19"
"DelftX/CTB3365DWx/3T2014_330476","13081","5044","38.56","15","89","73"
"DelftX/CTB3365DWx/3T2014_2388316","104250","14891","14.28","22","117","205"
"DelftX/CTB3365DWx/3T2014_1950144","11811","1061","8.98","3","43","115"
"DelftX/CTB3365DWx/3T2014_1849501","95701","642","0.67","5","144","244"
"DelftX/CTB3365DWx/3T2014_2517920","57856","5971","10.32","22","82","104"
"DelftX/CTB3365DWx/3T2014_1264105","995","0","0.00","0","35","296"
"DelftX/CTB3365DWx/3T2014_2094477","60348","316","0.52","2","100","234"
"DelftX/CTB3365DWx/3T2014_2283990","46073","4682","10.16","13","135","153"
"DelftX/CTB3365DWx/3T2014_2155313","36150","3725","10.30","16","53","59"
"DelftX/CTB3365DWx/3T2014_5639418","4572","639","13.98","3","121","15"
"DelftX/CTB3365DWx/3T2014_497501","7467","157","2.10","1","35","170"
"DelftX/CTB3365DWx/3T2014_1034993","68297","6137","8.99","18","113","75"
"DelftX/CTB3365DWx/3T2014_5505883","38790","9166","23.63","20","153","283"
"DelftX/CTB3365DWx/3T2014_784977","43439","4008","9.23","15","111","183"
"DelftX/CTB3365DWx/3T2014_5639546","22553","2535","11.24","7","18","19"
