"Metric","week 1","week 2","week 3","week 4","week 5","week 6","week 7","week 8","week 9","week 10","week 11"
"Time on the platform (s)","5918.770491803279","16468.805263157894","26787.493392070486","39792.99163179917","55819.49173553719","68828.72199170124","77381.19834710743","87861.75619834711","90908.76326530612","91751.12195121951","91751.12195121951"
"Time on videos (s)","615.0785714285714","2212.6711409395975","3476.680473372781","5315.964705882353","7197.793103448276","8772.71186440678","10134.307262569833","11018.715846994535","11239.130434782608","11288.782608695652","11288.782608695652"
"Ratio video/platform","22.111953125000003","16.881597633136096","13.78751322751323","12.604626865671642","11.989223300970881","12.63583756345178","12.472722772277223","11.847246376811597","11.608495145631075","11.481932367149764","11.481932367149764"
"Distinct videos","2.0","5.0","7.0","11.0","16.0","20.0","20.0","20.0","20.0","20.0","20.0"
"Assignments","0.0","2.4377224199288254","8.380782918149466","15.52155172413793","24.392857142857142","32.217171717171716","35.28735632183908","36.30909090909091","36.388888888888886","36.301886792452834","36.301886792452834"
"Until deadline (h)","0.0","231.61818181818182","154.71980676328502","128.05116279069767","117.54377880184332","118.15454545454546","111.1896551724138","110.67099567099567","110.62337662337663","110.61471861471861","110.61471861471861"
